True Solar,True Wind,Predicted Mean Solar,Predicted Mean Wind,Predicted Std. Dev. Solar,Predicted Std. Dev. Wind
0.0,0.0029808115,-0.0132585345,0.0064601246,0.05297602,0.024072377
0.0,0.0030171943,-0.013403269,0.0064142724,0.05297913,0.02407602
0.0,0.0030696634,-0.013654512,0.006368186,0.052977625,0.024081629
0.0,0.0029080394,-0.0139480475,0.0063489657,0.052966163,0.02410072
0.0,0.0030710537,-0.014205081,0.0063486616,0.05295964,0.02412613
0.0,0.0026717456,-0.0144311525,0.0063591613,0.052953955,0.024154011
0.0,0.002823504,-0.0145999435,0.006376209,0.052943077,0.02418059
0.0,0.0028534879,-0.014762969,0.006393847,0.052929964,0.02420741
0.0,0.0031694763,-0.014944575,0.0064107804,0.052916892,0.0242361
0.0,0.00314891,-0.015120996,0.006427165,0.052905004,0.024263682
0.0,0.0027778274,-0.015295285,0.006443548,0.052895106,0.02428883
